weather,hour,date
haze,14,2012-10-09
mist,15,2012-10-09
mist,16,2012-10-09
haze,17,2012-10-09
sky is clear,18,2012-10-09
sky is clear,19,2012-10-09
scattered clouds,20,2012-10-09
sky is clear,21,2012-10-09
sky is clear,22,2012-10-09
sky is clear,23,2012-10-09
sky is clear,00,2012-10-10
sky is clear,01,2012-10-10
sky is clear,02,2012-10-10
sky is clear,03,2012-10-10
sky is clear,04,2012-10-10
sky is clear,05,2012-10-10
sky is clear,06,2012-10-10
sky is clear,07,2012-10-10
sky is clear,08,2012-10-10
sky is clear,09,2012-10-10
sky is clear,10,2012-10-10
sky is clear,11,2012-10-10
sky is clear,12,2012-10-10
sky is clear,13,2012-10-10
overcast clouds,14,2012-10-10
sky is clear,15,2012-10-10
overcast clouds,16,2012-10-10
few clouds,17,2012-10-10
haze,18,2012-10-10
broken clouds,19,2012-10-10
scattered clouds,20,2012-10-10
few clouds,21,2012-10-10
sky is clear,22,2012-10-10
sky is clear,23,2012-10-10
sky is clear,00,2012-10-11
sky is clear,01,2012-10-11
sky is clear,02,2012-10-11
sky is clear,03,2012-10-11
sky is clear,04,2012-10-11
sky is clear,05,2012-10-11
sky is clear,06,2012-10-11
sky is clear,07,2012-10-11
sky is clear,08,2012-10-11
sky is clear,09,2012-10-11
broken clouds,10,2012-10-11
scattered clouds,11,2012-10-11
scattered clouds,12,2012-10-11
broken clouds,13,2012-10-11
overcast clouds,14,2012-10-11
scattered clouds,15,2012-10-11
scattered clouds,16,2012-10-11
few clouds,17,2012-10-11
sky is clear,18,2012-10-11
sky is clear,19,2012-10-11
sky is clear,20,2012-10-11
haze,21,2012-10-11
scattered clouds,22,2012-10-11
sky is clear,23,2012-10-11
sky is clear,00,2012-10-12
sky is clear,01,2012-10-12
sky is clear,02,2012-10-12
few clouds,03,2012-10-12
few clouds,04,2012-10-12
sky is clear,05,2012-10-12
few clouds,06,2012-10-12
broken clouds,07,2012-10-12
sky is clear,08,2012-10-12
sky is clear,09,2012-10-12
sky is clear,10,2012-10-12
sky is clear,11,2012-10-12
light rain,12,2012-10-12
light rain,13,2012-10-12
thunderstorm with rain,14,2012-10-12
moderate rain,15,2012-10-12
light rain,16,2012-10-12
sky is clear,17,2012-10-12
sky is clear,18,2012-10-12
sky is clear,19,2012-10-12
thunderstorm,20,2012-10-12
light rain,21,2012-10-12
scattered clouds,22,2012-10-12
shower rain,23,2012-10-12
broken clouds,00,2012-10-13
broken clouds,01,2012-10-13
broken clouds,02,2012-10-13
broken clouds,03,2012-10-13
sky is clear,04,2012-10-13
sky is clear,05,2012-10-13
sky is clear,06,2012-10-13
scattered clouds,07,2012-10-13
scattered clouds,08,2012-10-13
few clouds,09,2012-10-13
sky is clear,10,2012-10-13
haze,11,2012-10-13
few clouds,12,2012-10-13
scattered clouds,13,2012-10-13
fog,14,2012-10-13
scattered clouds,15,2012-10-13
broken clouds,16,2012-10-13
overcast clouds,17,2012-10-13
light rain,18,2012-10-13
few clouds,19,2012-10-13
broken clouds,20,2012-10-13
few clouds,21,2012-10-13
sky is clear,22,2012-10-13
sky is clear,23,2012-10-13
overcast clouds,00,2012-10-14
broken clouds,01,2012-10-14
few clouds,02,2012-10-14
sky is clear,03,2012-10-14
sky is clear,04,2012-10-14
sky is clear,05,2012-10-14
sky is clear,06,2012-10-14
sky is clear,07,2012-10-14
sky is clear,08,2012-10-14
sky is clear,09,2012-10-14
sky is clear,10,2012-10-14
sky is clear,11,2012-10-14
sky is clear,12,2012-10-14
sky is clear,13,2012-10-14
sky is clear,14,2012-10-14
sky is clear,15,2012-10-14
sky is clear,16,2012-10-14
sky is clear,17,2012-10-14
sky is clear,18,2012-10-14
sky is clear,19,2012-10-14
sky is clear,20,2012-10-14
sky is clear,21,2012-10-14
sky is clear,22,2012-10-14
sky is clear,23,2012-10-14
sky is clear,00,2012-10-15
sky is clear,01,2012-10-15
sky is clear,02,2012-10-15
sky is clear,03,2012-10-15
sky is clear,04,2012-10-15
sky is clear,05,2012-10-15
sky is clear,06,2012-10-15
sky is clear,07,2012-10-15
sky is clear,08,2012-10-15
sky is clear,09,2012-10-15
sky is clear,10,2012-10-15
sky is clear,11,2012-10-15
sky is clear,12,2012-10-15
sky is clear,13,2012-10-15
sky is clear,14,2012-10-15
sky is clear,15,2012-10-15
sky is clear,16,2012-10-15
sky is clear,17,2012-10-15
sky is clear,18,2012-10-15
sky is clear,19,2012-10-15
sky is clear,20,2012-10-15
sky is clear,21,2012-10-15
sky is clear,22,2012-10-15
sky is clear,23,2012-10-15
sky is clear,00,2012-10-16
sky is clear,01,2012-10-16
sky is clear,02,2012-10-16
sky is clear,03,2012-10-16
sky is clear,04,2012-10-16
sky is clear,05,2012-10-16
sky is clear,06,2012-10-16
sky is clear,07,2012-10-16
sky is clear,08,2012-10-16
sky is clear,09,2012-10-16
sky is clear,10,2012-10-16
sky is clear,11,2012-10-16
sky is clear,12,2012-10-16
sky is clear,13,2012-10-16
sky is clear,14,2012-10-16
sky is clear,15,2012-10-16
sky is clear,16,2012-10-16
haze,17,2012-10-16
sky is clear,18,2012-10-16
sky is clear,19,2012-10-16
sky is clear,20,2012-10-16
sky is clear,21,2012-10-16
sky is clear,22,2012-10-16
sky is clear,23,2012-10-16
sky is clear,00,2012-10-17
sky is clear,01,2012-10-17
sky is clear,02,2012-10-17
sky is clear,03,2012-10-17
sky is clear,04,2012-10-17
sky is clear,05,2012-10-17
sky is clear,06,2012-10-17
sky is clear,07,2012-10-17
fog,08,2012-10-17
fog,09,2012-10-17
fog,10,2012-10-17
fog,11,2012-10-17
fog,12,2012-10-17
fog,13,2012-10-17
fog,14,2012-10-17
mist,15,2012-10-17
haze,16,2012-10-17
haze,17,2012-10-17
sky is clear,18,2012-10-17
sky is clear,19,2012-10-17
sky is clear,20,2012-10-17
few clouds,21,2012-10-17
sky is clear,22,2012-10-17
fog,23,2012-10-17
sky is clear,00,2012-10-18
sky is clear,01,2012-10-18
sky is clear,02,2012-10-18
sky is clear,03,2012-10-18
sky is clear,04,2012-10-18
sky is clear,05,2012-10-18
sky is clear,06,2012-10-18
sky is clear,07,2012-10-18
sky is clear,08,2012-10-18
sky is clear,09,2012-10-18
sky is clear,10,2012-10-18
sky is clear,11,2012-10-18
sky is clear,12,2012-10-18
sky is clear,13,2012-10-18
fog,14,2012-10-18
haze,15,2012-10-18
mist,16,2012-10-18
haze,17,2012-10-18
haze,18,2012-10-18
sky is clear,19,2012-10-18
sky is clear,20,2012-10-18
sky is clear,21,2012-10-18
sky is clear,22,2012-10-18
sky is clear,23,2012-10-18
sky is clear,00,2012-10-19
sky is clear,01,2012-10-19
sky is clear,02,2012-10-19
sky is clear,03,2012-10-19
sky is clear,04,2012-10-19
sky is clear,05,2012-10-19
sky is clear,06,2012-10-19
sky is clear,07,2012-10-19
sky is clear,08,2012-10-19
sky is clear,09,2012-10-19
sky is clear,10,2012-10-19
sky is clear,11,2012-10-19
sky is clear,12,2012-10-19
overcast clouds,13,2012-10-19
overcast clouds,14,2012-10-19
overcast clouds,15,2012-10-19
overcast clouds,16,2012-10-19
overcast clouds,17,2012-10-19
overcast clouds,18,2012-10-19
overcast clouds,19,2012-10-19
overcast clouds,20,2012-10-19
overcast clouds,21,2012-10-19
broken clouds,22,2012-10-19
sky is clear,23,2012-10-19
sky is clear,00,2012-10-20
sky is clear,01,2012-10-20
sky is clear,02,2012-10-20
sky is clear,03,2012-10-20
sky is clear,04,2012-10-20
sky is clear,05,2012-10-20
sky is clear,06,2012-10-20
sky is clear,07,2012-10-20
scattered clouds,08,2012-10-20
sky is clear,09,2012-10-20
sky is clear,10,2012-10-20
sky is clear,11,2012-10-20
sky is clear,12,2012-10-20
sky is clear,13,2012-10-20
fog,14,2012-10-20
haze,15,2012-10-20
haze,16,2012-10-20
haze,17,2012-10-20
sky is clear,18,2012-10-20
sky is clear,19,2012-10-20
sky is clear,20,2012-10-20
few clouds,21,2012-10-20
few clouds,22,2012-10-20
broken clouds,23,2012-10-20
overcast clouds,00,2012-10-21
overcast clouds,01,2012-10-21
overcast clouds,02,2012-10-21
overcast clouds,03,2012-10-21
mist,04,2012-10-21
mist,05,2012-10-21
sky is clear,06,2012-10-21
few clouds,07,2012-10-21
few clouds,08,2012-10-21
scattered clouds,09,2012-10-21
scattered clouds,10,2012-10-21
scattered clouds,11,2012-10-21
scattered clouds,12,2012-10-21
sky is clear,13,2012-10-21
broken clouds,14,2012-10-21
broken clouds,15,2012-10-21
broken clouds,16,2012-10-21
broken clouds,17,2012-10-21
broken clouds,18,2012-10-21
broken clouds,19,2012-10-21
broken clouds,20,2012-10-21
overcast clouds,21,2012-10-21
overcast clouds,22,2012-10-21
overcast clouds,23,2012-10-21
overcast clouds,00,2012-10-22
overcast clouds,01,2012-10-22
overcast clouds,02,2012-10-22
overcast clouds,03,2012-10-22
overcast clouds,04,2012-10-22
overcast clouds,05,2012-10-22
broken clouds,06,2012-10-22
overcast clouds,07,2012-10-22
light rain,08,2012-10-22
overcast clouds,09,2012-10-22
overcast clouds,10,2012-10-22
overcast clouds,11,2012-10-22
overcast clouds,12,2012-10-22
sky is clear,13,2012-10-22
overcast clouds,14,2012-10-22
overcast clouds,15,2012-10-22
light rain,16,2012-10-22
overcast clouds,17,2012-10-22
overcast clouds,18,2012-10-22
overcast clouds,19,2012-10-22
broken clouds,20,2012-10-22
broken clouds,21,2012-10-22
overcast clouds,22,2012-10-22
few clouds,23,2012-10-22
sky is clear,00,2012-10-23
sky is clear,01,2012-10-23
sky is clear,02,2012-10-23
sky is clear,03,2012-10-23
scattered clouds,04,2012-10-23
overcast clouds,05,2012-10-23
overcast clouds,06,2012-10-23
overcast clouds,07,2012-10-23
overcast clouds,08,2012-10-23
overcast clouds,09,2012-10-23
overcast clouds,10,2012-10-23
overcast clouds,11,2012-10-23
overcast clouds,12,2012-10-23
overcast clouds,13,2012-10-23
overcast clouds,14,2012-10-23
overcast clouds,15,2012-10-23
broken clouds,16,2012-10-23
overcast clouds,17,2012-10-23
overcast clouds,18,2012-10-23
sky is clear,19,2012-10-23
sky is clear,20,2012-10-23
haze,21,2012-10-23
scattered clouds,22,2012-10-23
broken clouds,23,2012-10-23
few clouds,00,2012-10-24
overcast clouds,01,2012-10-24
overcast clouds,02,2012-10-24
broken clouds,03,2012-10-24
overcast clouds,04,2012-10-24
broken clouds,05,2012-10-24
overcast clouds,06,2012-10-24
overcast clouds,07,2012-10-24
light rain,08,2012-10-24
light rain,09,2012-10-24
mist,10,2012-10-24
light rain,11,2012-10-24
light rain,12,2012-10-24
broken clouds,13,2012-10-24
broken clouds,14,2012-10-24
broken clouds,15,2012-10-24
scattered clouds,16,2012-10-24
scattered clouds,17,2012-10-24
sky is clear,18,2012-10-24
sky is clear,19,2012-10-24
sky is clear,20,2012-10-24
sky is clear,21,2012-10-24
sky is clear,22,2012-10-24
sky is clear,23,2012-10-24
sky is clear,00,2012-10-25
sky is clear,01,2012-10-25
sky is clear,02,2012-10-25
sky is clear,03,2012-10-25
sky is clear,04,2012-10-25
sky is clear,05,2012-10-25
sky is clear,06,2012-10-25
sky is clear,07,2012-10-25
sky is clear,08,2012-10-25
sky is clear,09,2012-10-25
sky is clear,10,2012-10-25
sky is clear,11,2012-10-25
sky is clear,12,2012-10-25
sky is clear,13,2012-10-25
sky is clear,14,2012-10-25
sky is clear,15,2012-10-25
sky is clear,16,2012-10-25
sky is clear,17,2012-10-25
sky is clear,18,2012-10-25
sky is clear,19,2012-10-25
sky is clear,20,2012-10-25
sky is clear,21,2012-10-25
sky is clear,22,2012-10-25
sky is clear,23,2012-10-25
sky is clear,00,2012-10-26
sky is clear,01,2012-10-26
sky is clear,02,2012-10-26
sky is clear,03,2012-10-26
sky is clear,04,2012-10-26
sky is clear,05,2012-10-26
sky is clear,06,2012-10-26
sky is clear,07,2012-10-26
sky is clear,08,2012-10-26
sky is clear,09,2012-10-26
sky is clear,10,2012-10-26
sky is clear,11,2012-10-26
sky is clear,12,2012-10-26
sky is clear,13,2012-10-26
sky is clear,14,2012-10-26
sky is clear,15,2012-10-26
